Title,Content ID,Poster,Backdrop,Overview,Trailer,Type,Genres,Runtime (minutes),Number of Episodes,Rating,Release Year,Provider Name,Provider Logo,Origin Country,Primary Genres,Secondary Genres,Total Runtime (minutes),Latitude,Longitude
The Dictator,76493,/n0W7kajF4GFMRk2c0wWwMQqTaDM.jpg,/jWq20KNbg5txb28tLxJl0yLYuxp.jpg,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,https://www.youtube.com/watch?v=cYplvwBvGA4,movie,Comedy,83,1,6.19,2012,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Comedy,N/A,83,39.78373,-100.44588
Yaksha: Ruthless Operations,606402,/whZ8OkI7W8cBOmtoiFyb72Ekt3U.jpg,/hXTWVJMsI9BkxMLliqL1j0FT55t.jpg,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.",https://www.youtube.com/watch?v=G71-DM4X01A,movie,"Action, Adventure, Crime, Thriller",125,1,6.44,2022,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,"Korea, Republic of",Action/Adventure, Adventure,125,38.22836,127.02521
Boss,38922,/1alxC6GZwf0Q0g1XPvVt2j9JeWQ.jpg,/ak8ahTjiYg5sLB8FqDH7XhdYC7l.jpg,"Boss is an American political drama television serial created by Farhad Safinia. The series stars Kelsey Grammer as Tom Kane, the mayor of Chicago, who has recently been diagnosed with dementia with Lewy bodies, a degenerative neurological disorder.",https://www.youtube.com/watch?v=n7WxRrqaxmM,tv,"Drama, War & Politics, Crime",55,18,7.1,2011,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,United States of America,Drama, War & Politics,990,39.78373,-100.44588
Forensic,915867,/bn2sQizEJ0qsntJRvjULsd5vk44.jpg,/1vTCTFc3j2Y3wR3VbFveyOZYrfY.jpg,Little girls begin to disappear and their bodies are found soon after in the town of Mussoorie. Police officer Megha and forensic officer Johnny join hands to nab the killer.,N/A,movie,"Crime, Thriller",129,1,4.3,2022,N/A,N/A,Republic of India,Documentary/Other, Thriller,129,22.35111,78.66774
Dangal,18784,N/A,N/A,"Dangal is a Philippine television drama and the seventh installment of Now and Forever series. Dangal is a drama about love, trust and betrayal.",N/A,tv,Drama,30,45,0,2006,N/A,N/A,Republic of the Philippines,Drama,N/A,1350,12.75035,122.73121
Edge of Fear,539619,/beGV7Zm7liyYCUMVUeZr6rr6cSU.jpg,/iEYTv8SfaNO3sjiHBBtNpR9UMXv.jpg,"After being stabbed in the heart by ruthless home invaders, a man is left for dead. Now weak, outnumbered, and knife sticking from his chest, he attempts to do the impossible: save his wife from these murderers before he bleeds to death.",https://www.youtube.com/watch?v=MBlZjbmxJQ4,movie,"Action, Thriller",91,1,4.8,2018,N/A,N/A,United States of America,Action/Adventure, Thriller,91,39.78373,-100.44588
3 Idiots,20453,/66A9MqXOyVFCssoloscw79z8Tew.jpg,/u7kuUaySqXBVAtqEl9vkTkAzHV9.jpg,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",https://www.youtube.com/watch?v=K0eDlFX9GMc,movie,"Drama, Comedy",170,1,7.99,2009,N/A,N/A,Republic of India,Drama, Comedy,170,22.35111,78.66774
Too Hot to Handle,102085,/jr21CagMMfglh7YVgcyov3Cj833.jpg,/fdrfaJNnd4QLbCNgnMnMjHewrYR.jpg,"On the shores of paradise, gorgeous singles meet and mingle. But there’s a twist. To win a $100,000 grand prize, they’ll have to give up sex.",https://www.youtube.com/watch?v=2JgPJpgnut4,tv,Reality,40,49,6.7,2020,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other,N/A,1960,54.70235,-3.27658
The Tuxedo,10771,/2agrcNQRtgTsN5SbffC4H2BwYW2.jpg,/1wo90L3F7hA9h6cG5xfz3dB1IE6.jpg,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",https://www.youtube.com/watch?v=5FeOoZrWSKI,movie,"Thriller, Action, Comedy, Science Fiction",98,1,5.71,2002,Paramount Plus,/h5DcR0J2EESLitnhR8xLG1QymTE.jpg,United States of America,Documentary/Other, Action,98,39.78373,-100.44588
Eternal 831,857756,/4dlrpSf3q1GAgBUOjnemHP06QHC.jpg,/vNKYPhTe7FvgCfWNSab6lvsOLxk.jpg,"In the present day, the world is in turmoil due to an ""unprecedented disaster."" A young man living in Tokyo, Suzushirō, has a secret he cannot tell anyone. That secret is that he can stop the time around him despite his thoughts. One day, he meets a girl named Nazuna who has the same ""power"". When he learns that she is being used in a crime, he impulsively reaches out to help her.",N/A,movie,"Animation, Drama, Adventure, Science Fiction",105,1,4.8,2022,N/A,N/A,Japan,Animation, Drama,105,36.57484,139.23942
Bodyguard,80307,/3KH5MWjrATMNdl7LeJ9sKacxkjE.jpg,/og0NmKvndLXQXCicBWd8GII1c17.jpg,A troubled war veteran is assigned to protect a controversial politician who may be the target of a terror plot.,https://www.youtube.com/watch?v=tLfLU6-9lxY,tv,"Crime, Drama, War & Politics",60,6,7.79,2018,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other, Drama,360,54.70235,-3.27658
Our Great National Parks,195258,/3ny9qqgIM2M6LgfLDAXujTOTmBO.jpg,/59ajV5dGQ1pgnb0PLRZvYFnRmxV.jpg,"Narrated by former President Barack Obama, this stunning docuseries shines the spotlight on some of the planet's most spectacular national parks.",N/A,tv,Documentary,54,5,7.69,2022,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Documentary/Other,N/A,270,39.78373,-100.44588
3 Ninjas Kick Back,18885,/kXuh3c0DyvqSGo0DBatoemBwEtz.jpg,/xTAQrUKwKvUvWCowY8XLlD0uFE2.jpg,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",https://www.youtube.com/watch?v=3jQMMcfJ0Xw,movie,"Family, Adventure, Action, Comedy",93,1,5.57,1994,N/A,N/A,United States of America,Documentary/Other, Adventure,93,39.78373,-100.44588
The SpongeBob SquarePants Movie,11836,/gjZD811kfY1ideNuBukcuCy8ocA.jpg,/i2fZIltljrhFPsUK9PN6O6ZE7M4.jpg,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",https://www.youtube.com/watch?v=alE82rncL7w,movie,"Family, Animation, Comedy, Fantasy, Adventure",87,1,7.01,2004,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Documentary/Other, Animation,87,39.78373,-100.44588
Teen Titans Go!,45140,/mTMAxrRaDp0TFpdFVinD3grrqr9.jpg,/bIHCUqaapZdRjd2kzSDiwzYyrpC.jpg,"Robin, Starfire, Raven, Beast Boy and Cyborg return in all-new, comedic adventures. They may be super heroes who save the world every day ... but somebody still has to do the laundry!",https://www.youtube.com/watch?v=2Cwksub4wdE,tv,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy, Family",11,393,6.58,2013,N/A,N/A,United States of America,Animation, Comedy,4323,39.78373,-100.44588
How to Become a Tyrant,127626,/kdWrvDC6ApgZL9HxDVYTXwtHZkM.jpg,/9aKLfKx3QDGdzGuLw4GJDKtxsF0.jpg,The documentary series explores different political figures throughout history.,N/A,tv,"Documentary, War & Politics",30,6,7.4,2021,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Documentary/Other, War & Politics,180,39.78373,-100.44588
